측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
2018-11-06,한강대로,0.13,0.005,1.2,0.006,121,86
2018-11-03,한강대로,0.114,0.01,1,0.005,74,48
2018-11-02,한강대로,0.114,0.006,1,0.005,65,35
2018-10-22,한강대로,0.104,0.012,0.9,0.006,67,45
2018-10-25,한강대로,0.103,0.009,0.9,0.005,53,28
2018-11-15,한강대로,0.102,0.007,0.9,0.005,61,45
2018-02-27,청계천로,0.094,0.003,1.5,0.012,84,65
2018-12-21,한강대로,0.094,0.004,1.2,0.007,82,55
2018-10-23,한강대로,0.094,0.013,0.8,0.005,71,45
2018-11-05,한강대로,0.093,0.01,1,0.005,75,51
2018-11-16,한강대로,0.091,0.012,1,0.005,67,51
2018-11-06,신촌로,0.09,0.004,1.3,0.005,101,77
2018-02-27,홍릉로,0.09,0.002,1.2,0.009,101,73
2018-01-16,영등포로,0.089,0.003,1.3,0.009,149,71
2018-01-16,은평구,0.089,0.006,1.2,0.006,107,81
2018-12-21,궁동,0.089,0.006,1.1,0.005,74,39
2018-11-13,한강대로,0.089,0.011,0.9,0.005,49,31
2018-10-20,한강대로,0.089,0.012,0.7,0.005,50,25
2018-01-16,강남대로,0.088,0.003,1.5,0.008,133,63
2018-02-27,영등포로,0.088,0.003,1.2,0.01,123,70
2018-12-20,한강대로,0.088,0.005,1,0.007,63,42
2018-11-04,한강대로,0.088,0.016,0.9,0.005,55,39
2018-02-27,은평구,0.087,0.005,1.4,0.008,91,54
2018-01-16,동작대로,0.087,0.002,1.4,0.007,131,83
2018-11-03,신촌로,0.087,0.006,1.1,0.005,61,44
2018-04-19,정릉로,0.087,0.011,0.9,0.006,103,49
2018-11-01,한강대로,0.087,0.012,0.8,0.005,54,25
2018-02-27,강남대로,0.086,0.004,1.3,0.01,93,53
2018-12-21,강남대로,0.086,0.003,1.3,0.006,91,57
2018-02-27,종로,0.086,0.003,1.3,0.009,88,54
2018-02-27,강북구,0.086,0.003,1.1,0.009,95,58
2018-02-27,동대문구,0.086,0.003,0.9,0.011,97,69
2018-10-24,한강대로,0.086,0.014,0.7,0.005,56,27
2018-02-27,양천구,0.085,0.004,1.1,0.009,90,67
2018-11-26,시흥대로,0.084,0.003,1.4,0.005,83,48
2018-01-16,공항대로,0.084,0.002,1.3,0.008,137,106
2018-12-22,강변북로,0.084,0.004,1.1,0.006,101,67
2018-02-27,한강대로,0.084,0.003,1.1,0.009,111,65
2018-11-19,한강대로,0.084,0.009,1,0.006,70,43
2018-11-14,한강대로,0.084,0.01,0.7,0.005,45,31
2018-01-16,신촌로,0.083,0.004,1.7,0.009,135,78
2018-12-22,한강대로,0.083,0.011,1.2,0.007,93,70
2018-02-27,천호대로,0.083,0.003,1.1,0.009,127,55
2018-02-09,영등포로,0.083,0.003,1,0.008,91,65
2018-02-27,신촌로,0.082,0.003,1.5,0.012,104,69
2018-02-09,강남대로,0.082,0.005,1.2,0.007,81,51
2018-10-26,한강대로,0.082,0.011,0.7,0.005,47,28
2018-01-16,동작구,0.081,0.004,1.4,0.007,117,103
2018-12-22,강남대로,0.081,0.004,1.4,0.007,99,71
2018-02-27,종로구,0.081,0.003,1.4,0.011,82,55
2018-02-27,도봉구,0.081,0.004,1.3,0.011,107,61
2018-11-06,천호대로,0.081,0.002,1.2,0.004,103,63
2018-01-16,한강대로,0.081,0.004,1.1,0.008,129,66
2018-02-27,공항대로,0.081,0.003,1,0.008,121,75
2018-05-15,영등포로,0.081,0.015,0.9,0.007,88,71
2018-12-20,강남대로,0.08,0.004,1.4,0.006,70,41
2018-01-16,강서구,0.08,0.003,1.4,0.006,118,96
2018-01-16,청계천로,0.08,0.003,1.3,0.01,105,87
2018-02-27,노원구,0.08,0.003,1.3,0.012,99,64
2018-01-17,강남대로,0.08,0.004,1.2,0.006,126,64
2018-02-27,강서구,0.08,0.005,1.1,0.008,100,64
2018-02-27,동작대로,0.08,0.002,1.1,0.01,100,68
2018-02-27,도산대로,0.079,0.003,1.4,0.01,102,55
2018-01-16,관악구,0.079,0.003,1.2,0.009,109,97
2018-02-27,정릉로,0.079,0.002,1.2,0.01,111,58
2018-04-21,신촌로,0.079,0.011,1.1,0.007,92,41
2018-12-18,한강대로,0.079,0.007,1,0.006,55,34
2018-12-15,한강대로,0.079,0.004,1,0.005,65,45
2018-12-16,한강대로,0.079,0.003,1,0.006,59,48
2018-04-21,영등포로,0.079,0.015,0.7,0.008,96,53
2018-06-22,강남대로,0.079,0.016,0.6,0.004,53,36
2018-02-09,신촌로,0.078,0.004,1.4,0.009,86,59
2018-12-21,시흥대로,0.078,0.002,1.3,0.008,82,53
2018-11-06,양천구,0.078,0.006,1.1,0.004,103,71
2018-11-06,동대문구,0.078,0.005,1.1,0.008,89,71
2018-02-27,강남구,0.078,0.002,1.1,0.01,96,69
2018-11-02,신촌로,0.078,0.005,1,0.004,45,30
2018-12-01,한강대로,0.078,0.006,0.9,0.006,53,29
2018-01-16,동대문구,0.078,0.004,0.9,0.009,123,75
2018-02-09,천호대로,0.078,0.003,0.9,0.007,83,33
2018-04-21,정릉로,0.078,0.02,0.8,0.005,81,48
2018-03-12,영등포로,0.078,0.01,0.8,0.008,141,79
2018-10-21,한강대로,0.078,0.021,0.7,0.005,49,28
2018-01-16,종로,0.077,0.003,1.5,0.006,95,68
2018-02-27,성북구,0.077,0.003,1.4,0.01,102,64
2018-02-27,마포구,0.077,0.006,1.3,0.007,96,67
2018-02-27,광진구,0.077,0.004,1.3,0.007,101,65
2018-02-08,강남대로,0.077,0.004,1.3,0.007,70,42
2018-02-09,종로,0.077,0.005,1.2,0.007,71,45
2018-02-27,중랑구,0.077,0.003,1.2,0.009,96,64
2018-02-27,중구,0.077,0.003,1.2,0.009,81,57
2018-12-21,영등포로,0.077,0.003,1.2,0.007,74,42
2018-12-20,시흥대로,0.077,0.003,1.2,0.006,61,35
2018-02-09,동작대로,0.077,0.002,1.2,0.007,87,65
2018-01-27,강남대로,0.077,0.005,0.9,0.006,61,26
2018-02-27,서대문구,0.077,0.004,0.9,0.007,102,49
2018-11-07,한강대로,0.077,0.008,0.8,0.005,74,59
2018-04-18,정릉로,0.077,0.023,0.7,0.003,81,36
2018-01-16,양천구,0.076,0.003,1.5,0.007,112,97
2018-01-16,도산대로,0.076,0.002,1.5,0.007,124,67
2018-02-09,청계천로,0.076,0.004,1.2,0.009,66,55
2018-11-06,강변북로,0.076,0.004,1,0.005,111,81
2018-11-03,양천구,0.076,0.01,0.9,0.003,56,35
2018-04-21,한강대로,0.076,0.018,0.7,0.006,87,48
2018-01-16,마포구,0.075,0.004,1.5,0.007,116,86
2018-12-21,강서구,0.075,0.002,1.3,0.01,104,54
2018-11-26,한강대로,0.075,0.007,1.1,0.005,79,57
2018-11-27,한강대로,0.075,0.006,1.1,0.006,133,68
2018-01-17,영등포로,0.075,0.003,1.1,0.009,154,76
2018-01-22,강남대로,0.075,0.003,1.1,0.007,66,23
2018-12-21,양천구,0.075,0.002,1.1,0.004,92,56
2018-02-09,공항대로,0.075,0.004,1,0.008,93,65
2018-02-27,관악구,0.075,0.004,1,0.008,77,59
2018-03-12,동작대로,0.075,0.016,0.9,0.006,127,80
2018-10-22,영등포로,0.075,0.008,0.9,0.005,56,36
2018-12-11,한강대로,0.075,0.004,0.9,0.006,48,30
2018-12-21,강변북로,0.075,0.003,0.9,0.006,86,54
2018-06-02,정릉로,0.075,0.015,0.7,0.006,61,40
2018-11-12,한강대로,0.075,0.011,0.7,0.005,41,23
2018-05-11,정릉로,0.075,0.031,0.6,0.003,72,52
2018-04-18,영등포로,0.075,0.017,0.6,0.007,82,44
2018-10-19,한강대로,0.075,0.014,0.6,0.005,30,13
2018-01-17,신촌로,0.074,0.004,1.5,0.008,143,89
2018-01-16,종로구,0.074,0.004,1.5,0.008,97,74
2018-11-06,청계천로,0.074,0.005,1.4,0.005,92,69
2018-01-16,중구,0.074,0.004,1.4,0.007,99,76
2018-12-21,공항대로,0.074,0.002,1.4,0.009,114,67
2018-02-19,강남대로,0.074,0.005,1.2,0.007,72,42
2018-12-19,한강대로,0.074,0.008,1.1,0.007,62,37
2018-02-27,동작구,0.074,0.005,1,0.009,83,59
2018-11-05,신촌로,0.074,0.005,1,0.004,62,45
2018-12-21,관악구,0.074,0.003,1,0.007,88,59
2018-02-09,한강대로,0.074,0.003,0.9,0.007,78,39
2018-02-26,영등포로,0.074,0.006,0.8,0.008,86,53
2018-06-01,정릉로,0.074,0.025,0.7,0.004,47,25
2018-04-17,정릉로,0.074,0.021,0.7,0.004,66,31
2018-04-19,동대문구,0.074,0.015,0.6,0.009,75,38
2018-10-13,한강대로,0.074,0.011,0.6,0.005,49,30
2018-12-22,신촌로,0.073,0.005,1.4,0.009,85,66
2018-02-27,송파구,0.073,0.003,1.4,0.009,104,65
2018-01-16,금천구,0.073,0.002,1.3,0.007,117,92
2018-12-22,천호대로,0.073,0.006,1.2,0.01,82,49
2018-12-21,신촌로,0.073,0.003,1.2,0.008,67,47
2018-02-27,강동구,0.073,0.003,1.1,0.007,110,69
2018-12-21,금천구,0.073,0.002,1.1,0.007,76,54
2018-02-09,홍릉로,0.073,0.004,1,0.007,76,58
2018-11-15,신촌로,0.073,0.004,1,0.004,47,36
2018-02-08,천호대로,0.073,0.004,1,0.006,67,27
2018-01-16,홍릉로,0.073,0.003,1,0.009,107,84
2018-12-31,한강대로,0.073,0.006,0.9,0.004,52,34
2018-12-10,한강대로,0.073,0.006,0.9,0.005,41,22
2018-04-18,강남대로,0.073,0.013,0.7,0.005,82,38
2018-12-25,정릉로,0.073,0.003,0.7,0.005,40,28
2018-04-19,영등포로,0.073,0.012,0.6,0.01,81,45
2018-01-16,서대문구,0.072,0.005,1.3,0.005,137,75
2018-02-02,강남대로,0.072,0.005,1.3,0.007,67,35
2018-12-22,영등포로,0.072,0.005,1.2,0.007,81,57
2018-12-15,시흥대로,0.072,0.003,1.2,0.005,58,36
2018-12-20,영등포로,0.072,0.003,1.2,0.006,53,30
2018-01-16,강북구,0.072,0.004,1.1,0.008,111,72
2018-12-21,동작구,0.072,0.003,1.1,0.006,81,55
2018-03-13,관악구,0.072,0.012,1,0.005,83,60
2018-03-12,강남대로,0.072,0.011,1,0.006,115,66
2018-02-20,강남대로,0.072,0.009,1,0.005,86,48
2018-11-13,신촌로,0.072,0.005,1,0.004,41,26
2018-02-08,동작대로,0.072,0.002,1,0.007,64,46
2018-12-20,궁동,0.072,0.008,0.9,0.005,44,26
2018-11-10,한강대로,0.072,0.019,0.8,0.006,94,66
2018-04-21,동작대로,0.072,0.018,0.8,0.006,76,41
2018-02-26,천호대로,0.072,0.006,0.8,0.007,83,40
2018-04-26,정릉로,0.072,0.023,0.7,0.004,53,38
2018-12-21,청계천로,0.071,0.003,1.4,0.007,63,48
